ID,Category,Question,Option_A,Option_B,Ref_Shia,Ref_Sunni,Category_English,Question_English,Option_A_English,Option_B_English
1,इमामत व ख़िलाफ़त से जुड़े प्रश्न,पैग़म्बर मुहम्मद ﷺ के बाद मुस्लिम समाज के नेतृत्व का अधिकार किसे माना जाता है?,इमाम अली और उनके वंशज,अबुबक्र /उम्मत की सहमति से चुने गए ख़लीफ़ा,"अल-काफी, खंड 1, हदीस 1–5","सहीह बुख़ारी, किताब अल-इमामत, हदीस 370",Questions related to Imamate and Caliphate,"After Prophet Muhammad PBUH, the leadership of the Muslim community is recognized in whom?",Imam Ali and his descendants,Abu Bakr / Caliph chosen by the consensus of the Ummah
2,इमामत व ख़िलाफ़त से जुड़े प्रश्न,इस्लाम के अनुसार इमामत को किस प्रकार की व्यवस्था माना जाता है?,ईश्वरीय नियुक्त (Divine Appointment),सामाजिक-राजनीतिक व्यवस्था,उसूल-ए-काफ़ी,अल-अहकामुस सुल्तानिया – मावर्दी,Questions related to Imamate and Caliphate,"According to Islam, Imamate is considered what kind of arrangement?",Divine Appointment,Social-Political System
3,इमामत व ख़िलाफ़त से जुड़े प्रश्न,निम्न में से पहला ख़लीफ़ा किसे माना जाते हैं?,हज़रत अली,हज़रत अबूबक्र,"अल-काफी, खंड 1, हदीस 7","सहीह बुख़ारी, हदीस 370",Questions related to Imamate and Caliphate,Who is considered the first Caliph among the following?,Hazrat Imam Ali,Hazrat Abu Bakr
4,इमामत व ख़िलाफ़त से जुड़े प्रश्न,इस्लाम के अनुसार इमामों की संख्या कितनी मानी जाती है?,12 इमाम,निश्चित संख्या नहीं,"बिहार अल-अनवार, खंड 1, पृष्ठ 45","उसूल अल-फ़िक़्ह, खंड 1",Questions related to Imamate and Caliphate,"According to Islam, how many Imams are considered?",12 Imams,No definite number
5,इमामत व ख़िलाफ़त से जुड़े प्रश्न,इस्लाम के अनुसार क्या इमामत कयामत तक जारी रहेगी?,"हाँ, महदी के ज़ुहूर तक","नहीं, ख़िलाफ़त काल तक सीमित","अल-काफी, खंड 1, हदीस 15","सहीह मुस्लिम, हदीस 445",Questions related to Imamate and Caliphate,"According to Islam, will the Imamate continue until the Day of Judgment?","Yes, until the appearance of the Mahdi.","No, limited to the Caliphate period."
6,इमामत व ख़िलाफ़त से जुड़े प्रश्न,इस्लाम में इमाम महदी के बारे में मान्यता क्या है?,"ग़ैबत में हैं, जीवित हैं",भविष्य में जन्म लेंगे,"बिहार अल-अनवार, खंड 52, पृष्ठ 210","सहीह बुख़ारी, किताब अल-इमामत, हदीस 370",Questions related to Imamate and Caliphate,What is the belief about Imam Mahdi in Islam?,"In occultation, they are alive.",will be born in the future
7,इमामत व ख़िलाफ़त से जुड़े प्रश्न,पैग़म्बर ﷺ ने अली को उत्तराधिकारी नामित किया?,"हाँ, ग़दीर-ए-ख़ुम में","नहीं, स्पष्ट नामांकन नहीं","नहजुल बलाग़ा, उपदेश 53","सहीह बुख़ारी, हदीस 370",Questions related to Imamate and Caliphate,Did Prophet Muhammad PBUH designate Imam Ali as his successor?,"Yes, at Ghadir-e-Khum,","No, there was no clear nomination."
8,इमामत व ख़िलाफ़त से जुड़े प्रश्न,इमाम का विरोध किसके समान माना जाता है?,अल्लाह के आदेश का विरोध,राजनीतिक असहमति,"अल-काफी, खंड 1, हदीस 25","उसूल अल-फ़िक़्ह, खंड 2",Questions related to Imamate and Caliphate,The opposition to the Imam is considered equivalent to opposition to whom?,Opposition to Allah's command,Political disagreement
9,नमाज़ व इबादत से जुड़े प्रश्न,कोई मुस्लिम नमाज पढ़ते समय किस पर सजदा करता है?,मिट्टी/तुरबत पर,किसी भी पाक सतह पर,"तफ़सीर अल-मिज़ान, खंड 2","सहीह मुस्लिम, हदीस 400",Questions related to prayer and worship,Which Muslim prays during the time of the prayer on which they prostrate?,On soil/turbat,On any pure surface
10,नमाज़ व इबादत से जुड़े प्रश्न,किसी मुस्लिम व्यक्ति द्वारा नमाज़ पढ़ते समय हाथों की सही स्थिति क्या होती है?,हाथ खुले रहते हैं,हाथ बाँधकर रखे जाते हैं,"जाफ़री फ़िक़्ह, खंड 1, पृष्ठ 30","सहीह बुख़ारी, किताब अल-इमामत, हदीस 371",Questions related to prayer and worship,What is the correct position of the hands for a Muslim during prayer?,The hands remain open.,are held tightly
11,नमाज़ व इबादत से जुड़े प्रश्न,प्रचलित इस्लामिक रीति अनुसार ज़ुहर और अस्र की नमाज़ें कैसे पढ़ी जाती हैं?,मिलाकर पढ़ी जा सकती हैं,अलग-अलग समय पर,"जाफ़री फ़िक़्ह, खंड 2, पृष्ठ 45","हनफ़ी फ़िक़्ह, किताब अल-सलात, खंड 3",Questions related to prayer and worship,"According to the prevalent Islamic practice, how are the Zuhr and Asr prayers performed?",They can be read together.,At different times
12,नमाज़ व इबादत से जुड़े प्रश्न,प्रचलित इस्लामिक रीति अनुसार मग़रिब और इशा की नमाज़ें?,मिलाकर संभव,अलग-अलग अनिवार्य,"जाफ़री फ़िक़्ह, खंड 2, पृष्ठ 50","शाफ़ई फ़िक़्ह, खंड 3",Questions related to prayer and worship,"According to the prevalent Islamic practice, the Maghrib and Isha prayers?","Together, possible",Various Obligations
13,नमाज़ व इबादत से जुड़े प्रश्न,प्रचलित इस्लामिक रीति अनुसार नमाज़ में आमीन कहा जाता है?,नहीं,हाँ,"जाफ़री फ़िक़्ह, खंड 2, पृष्ठ 55","सहीह बुख़ारी, हदीस 372",Questions related to prayer and worship,"According to the prevalent Islamic practice, ""Ameen"" is said in prayer.",No,Yes
14,नमाज़ व इबादत से जुड़े प्रश्न,"नमाज के पूर्व दी जाने वाली अज़ान में ""हय्या अला ख़ैरिल अमल"" कहा जाता है?",हाँ,नहीं,"जाफ़री फ़िक़्ह, खंड 2, पृष्ठ 60","सहीह मुस्लिम, हदीस 401",Questions related to prayer and worship,"In the Azan given before the prayer, ""Hayya ala khairil amal"" is recited.",Yes,No
15,नमाज़ व इबादत से जुड़े प्रश्न,इस्लामिक की मूल मान्यता के अनुसार नमाज़ में बिस्मिल्लाह ज़ोर से पढ़ी जाती है?,हाँ,आमतौर पर नहीं,"जाफ़री फ़िक़्ह, खंड 1, पृष्ठ 62","हनफ़ी फ़िक़्ह, खंड 2",Questions related to prayer and worship,"According to Islamic belief, Bismillah is recited aloud in prayer?",Yes,Usually not
